test	layer	head	upper	lower
min_cost_matching	5	12	1	1
min_cost_matching	5	13	1	1
min_cost_matching	5	14	1	1
min_cost_matching	5	15	1	1
min_cost_matching	5	16	1	1
min_cost_matching	5	17	1	1
min_cost_matching	5	18	1	1
min_cost_matching	5	19	1	1
min_cost_matching	5	20	1	1
min_cost_matching	5	21	1	1
min_cost_matching	5	22	1	1
min_cost_matching	5	23	1	1
min_cost_matching	5	24	1	1
min_cost_matching	5	25	1	1
min_cost_matching	5	26	1	1
min_cost_matching	5	27	1	1
min_cost_matching	5	28	1	1
min_cost_matching	5	29	1	1
min_cost_matching	5	30	1	1
min_cost_matching	5	31	1	1
min_cost_matching	5	32	1	1
min_cost_matching	5	33	1	1
min_cost_matching	5	34	1	1
min_cost_matching	5	35	1	1
min_cost_matching	5	36	1	1
min_cost_matching	5	37	1	1
min_cost_matching	5	38	1	1
min_cost_matching	5	39	1	1
min_cost_matching	5	40	1	1
min_cost_matching	5	41	1	1
min_cost_matching	5	42	1	1
min_cost_matching	5	43	1	1
min_cost_matching	5	44	1	1
min_cost_matching	5	45	1	1
min_cost_matching	5	46	1	1
min_cost_matching	5	47	1	1
min_cost_matching	5	48	1	1
min_cost_matching	5	49	1	1
min_cost_matching	6	0	1	1
min_cost_matching	6	1	1	1
min_cost_matching	6	2	1	1
min_cost_matching	6	3	1	1
min_cost_matching	6	4	1	1
min_cost_matching	6	5	1	1
min_cost_matching	6	6	1	1
min_cost_matching	6	7	1	1
min_cost_matching	6	8	1	1
min_cost_matching	6	9	1	1
min_cost_matching	6	10	1	1
min_cost_matching	6	11	1	1
min_cost_matching	6	12	1	1
min_cost_matching	6	13	1	1
min_cost_matching	6	14	1	1
min_cost_matching	6	15	1	1
min_cost_matching	6	16	1	1
min_cost_matching	6	17	1	1
min_cost_matching	6	18	1	1
min_cost_matching	6	19	1	1
min_cost_matching	6	20	1	1
min_cost_matching	6	21	1	1
min_cost_matching	6	22	1	1
min_cost_matching	6	23	1	1
min_cost_matching	6	24	1	1
min_cost_matching	6	25	1	1
min_cost_matching	6	26	1	1
min_cost_matching	6	27	1	1
min_cost_matching	6	28	1	1
min_cost_matching	6	29	1	1
min_cost_matching	6	30	1	1
min_cost_matching	6	31	1	1
min_cost_matching	6	32	1	1
min_cost_matching	6	33	1	1
min_cost_matching	6	34	1	1
min_cost_matching	6	35	1	1
min_cost_matching	6	36	1	1
min_cost_matching	6	37	1	1
min_cost_matching	6	38	1	1
min_cost_matching	6	39	1	1
min_cost_matching	6	40	1	1
min_cost_matching	6	41	1	1
min_cost_matching	6	42	1	1
min_cost_matching	6	43	1	1
min_cost_matching	6	44	1	1
min_cost_matching	6	45	1	1
min_cost_matching	6	46	1	1
min_cost_matching	6	47	1	1
min_cost_matching	6	48	1	1
min_cost_matching	6	49	1	1
